supernova name,redshift,magnitude,stretch,color
'04D3gt',0.451556,23.241924,-0.213624,0.191395
'04D3gx',0.910752,24.654449,-0.449029,-0.145757
'04D3hn',0.552605,23.48813,-0.573944,0.073514
'04D3kr',0.337534,21.966214,1.231534,-0.018647
'04D3ks',0.750681,23.808932,0.623562,-0.030192
'04D3lp',0.983777,24.982708,-1.385938,0.009485
'04D3lu',0.822697,24.373493,-0.556579,-0.124503
'04D3mk',0.813696,24.296809,-0.268869,-0.147072
'04D3ml',0.950763,24.595947,1.16976,-0.137444
'04D3nc',0.817732,24.272419,1.189651,-0.082973
'04D3nh',0.34052,22.137345,0.612333,-0.003747
'04D3nr',0.960751,24.586694,0.200862,0.026976
'04D3ny',0.81072,24.233543,-0.074816,-0.014984
'04D3oe',0.756687,24.054929,-1.003254,-0.2463
'04D4an',0.611252,24.015491,-0.360563,0.020341
'04D4bk',0.877971,24.329232,1.742402,-0.11251
'04D4bq',0.548325,23.336908,0.648772,0.101208
'04D4dm',0.809032,24.395023,-0.265832,0.002784
'04D4dw',1.0288,24.58883,1.103181,-0.141513
'04D4fx',0.627239,23.512839,0.953562,-0.033942
'04D4gg',0.422452,22.726347,1.236716,0.083147
'04D4hf',0.9339,24.815885,0.846145,0.039429
'04D4hu',0.701158,23.921414,0.014891,-0.107691
'04D4ib',0.697164,23.589462,0.976498,-0.137669
'04D4ic',0.685179,24.117729,-0.865996,-0.011201
'04D4id',0.767075,24.198308,0.680717,-0.173571
'04D4ih',0.931901,24.398812,0.318349,-0.213713
'04D4ii',0.863978,24.398482,1.33803,-0.00656
'04D4im',0.7491,23.830175,0.936907,0.03293
'04D4in',0.514353,22.880762,1.531348,-0.070064
'04D4jr',0.468406,22.634969,1.528124,-0.062844
'04D4ju',0.470398,23.758954,0.448213,0.153474
'04D4jw',0.958871,24.773087,-0.701676,-0.199987
'04D4jy',0.927909,24.759723,0.086232,-0.114189
'05D1az',0.840522,24.254281,1.861994,-0.013003
'05D1cb',0.630699,23.700974,-0.246796,0.001443
'05D1cc',0.562751,23.506645,-0.148276,-0.009066
'05D1ck',0.615698,24.070744,-0.094687,0.108958
'05D1cl',0.828528,24.361588,2.292412,-0.067245
'05D1dn',0.564741,23.285141,1.229575,-0.021239
'05D1dx',0.578745,23.278595,0.650723,-0.045401
'05D1ee',0.557743,23.522028,-0.594306,0.000429
